algae1200_person_id,algae1201_ith_life_stage,algae1202_life_stage,algae1203_life_stage_year,algae1204_start_date,algae1205_end_date,algae1206_life_stage_duration
late_many_moves,1,YR1,1992,1992-11-18,1993-11-17,365
late_many_moves,2,YR2,1993,1993-11-18,1994-11-17,365
late_many_moves,3,YR3,1994,1994-11-18,1995-11-17,365
late_many_moves,4,YR4,1995,1995-11-18,1996-11-17,366
late_many_moves,5,YR5,1996,1996-11-18,1997-11-17,365
late_many_moves,6,YR6,1997,1997-11-18,1998-11-17,365
late_many_moves,7,YR7,1998,1998-11-18,1999-11-17,365
late_many_moves,8,YR8,1999,1999-11-18,2000-11-17,366
late_many_moves,9,YR9,2000,2000-11-18,2001-11-17,365
late_many_moves,10,YR10,2001,2001-11-18,2002-11-17,365
late_many_moves,11,YR11,2002,2002-11-18,2003-11-17,365
late_many_moves,12,YR12,2003,2003-11-18,2004-11-17,366
late_many_moves,13,YR13,2004,2004-11-18,2005-11-17,365
late_many_moves,14,YR14,2005,2005-11-18,2006-11-17,365
late_many_moves,15,YR15,2006,2006-11-18,2007-11-17,365
late_many_moves,16,YR16,2007,2007-11-18,2008-11-17,366
late_many_moves_with_err,1,YR1,1992,1992-11-18,1993-11-17,365
late_many_moves_with_err,2,YR2,1993,1993-11-18,1994-11-17,365
late_many_moves_with_err,3,YR3,1994,1994-11-18,1995-11-17,365
late_many_moves_with_err,4,YR4,1995,1995-11-18,1996-11-17,366
late_many_moves_with_err,5,YR5,1996,1996-11-18,1997-11-17,365
late_many_moves_with_err,6,YR6,1997,1997-11-18,1998-11-17,365
late_many_moves_with_err,7,YR7,1998,1998-11-18,1999-11-17,365
late_many_moves_with_err,8,YR8,1999,1999-11-18,2000-11-17,366
late_many_moves_with_err,9,YR9,2000,2000-11-18,2001-11-17,365
late_many_moves_with_err,10,YR10,2001,2001-11-18,2002-11-17,365
late_many_moves_with_err,11,YR11,2002,2002-11-18,2003-11-17,365
late_many_moves_with_err,12,YR12,2003,2003-11-18,2004-11-17,366
late_many_moves_with_err,13,YR13,2004,2004-11-18,2005-11-17,365
late_many_moves_with_err,14,YR14,2005,2005-11-18,2006-11-17,365
late_many_moves_with_err,15,YR15,2006,2006-11-18,2007-11-17,365
late_many_moves_with_err,16,YR16,2007,2007-11-18,2008-11-17,366
late_many_overlaps,1,YR1,1992,1992-11-18,1993-11-17,365
late_many_overlaps,2,YR2,1993,1993-11-18,1994-11-17,365
late_many_overlaps,3,YR3,1994,1994-11-18,1995-11-17,365
late_many_overlaps,4,YR4,1995,1995-11-18,1996-11-17,366
late_many_overlaps,5,YR5,1996,1996-11-18,1997-11-17,365
late_many_overlaps,6,YR6,1997,1997-11-18,1998-11-17,365
late_many_overlaps,7,YR7,1998,1998-11-18,1999-11-17,365
late_many_overlaps,8,YR8,1999,1999-11-18,2000-11-17,366
late_many_overlaps,9,YR9,2000,2000-11-18,2001-11-17,365
late_many_overlaps,10,YR10,2001,2001-11-18,2002-11-17,365
late_many_overlaps,11,YR11,2002,2002-11-18,2003-11-17,365
late_many_overlaps,12,YR12,2003,2003-11-18,2004-11-17,366
late_many_overlaps,13,YR13,2004,2004-11-18,2005-11-17,365
late_many_overlaps,14,YR14,2005,2005-11-18,2006-11-17,365
late_many_overlaps,15,YR15,2006,2006-11-18,2007-11-17,365
late_many_overlaps,16,YR16,2007,2007-11-18,2008-11-17,366
late_no_moves,1,YR1,1992,1992-11-18,1993-11-17,365
late_no_moves,2,YR2,1993,1993-11-18,1994-11-17,365
late_no_moves,3,YR3,1994,1994-11-18,1995-11-17,365
late_no_moves,4,YR4,1995,1995-11-18,1996-11-17,366
late_no_moves,5,YR5,1996,1996-11-18,1997-11-17,365
late_no_moves,6,YR6,1997,1997-11-18,1998-11-17,365
late_no_moves,7,YR7,1998,1998-11-18,1999-11-17,365
late_no_moves,8,YR8,1999,1999-11-18,2000-11-17,366
late_no_moves,9,YR9,2000,2000-11-18,2001-11-17,365
late_no_moves,10,YR10,2001,2001-11-18,2002-11-17,365
late_no_moves,11,YR11,2002,2002-11-18,2003-11-17,365
late_no_moves,12,YR12,2003,2003-11-18,2004-11-17,366
late_no_moves,13,YR13,2004,2004-11-18,2005-11-17,365
late_no_moves,14,YR14,2005,2005-11-18,2006-11-17,365
late_no_moves,15,YR15,2006,2006-11-18,2007-11-17,365
late_no_moves,16,YR16,2007,2007-11-18,2008-11-17,366
